REF,GSM988950,GSM988951,GSM988953,GSM988956,GSM988959,GSM988961,GSM988963,GSM988966,GSM988969,GSM988970,GSM988972,GSM988975,GSM988979,GSM988980,GSM988982,GSM988983,GSM988984,GSM988986,GSM988988,GSM988990,GSM988994,GSM988995,GSM989000,GSM989001,GSM989005,GSM989006,GSM989007,GSM989008,GSM989009,GSM989010,GSM989011
ABCC8,-0.370723256867663,-0.1752381600326166,-0.5875147431534485,0.8681518484706476,-1.2183695255553428,1.0940227233738165,0.0025744812282536824,0.6540074820192,-1.095476952639042,0.45450208969468997,-0.5476611019968927,0.14594032176925004,-1.686740999009809,-0.9336761697315247,-0.37620051376651115,-0.08274506233382982,0.02679169706771399,0.24792452399613016,-0.6803093238532122,-0.23182359774314276,-0.1994312965748747,-0.27985505637266667,2.4798986959873512,-0.36319528899044456,2.493477816751503,0.07870717183597019,2.4281733784526742,-0.5900935593837712,0.5111117524167735,0.8019643811791073,-0.5547036589282415
ACACA,-0.38575356266775773,-0.4104332215259506,-0.561841101936183,-0.4517351284302022,0.16216513064195573,-0.5884281688657887,-0.517942888723942,-0.35465573866349653,-0.33970669589459707,-0.060382025848652286,-0.5710855203647507,0.10790136964388367,-0.7493290533391158,-0.23276331813921505,-0.12285091578931254,0.3506823406094941,-0.521876941037992,-0.48099681790337945,-0.34532803430016223,0.07137069428719459,-0.31150118190186576,-0.4586228294738926,-0.5592301336427545,-0.23218640287569756,-0.45790959069407317,0.10028528276300697,-0.4168517756447912,-0.4013898791398906,-0.45687689086447064,-0.43000980930033933,-0.3512569815263321
ACACB,-0.48243088934122696,-0.4527429214243012,-1.0188605761826055,-0.7618050167036251,4.92404968944474,-0.8982804482578487,-0.5942011616696998,-0.09255062496632634,-0.21534695819769312,-0.1637016674970318,0.04790473360603365,-0.3152808530998793,-0.511499993219827,-0.12732888497266878,-0.8647668428109463,0.14538327449496186,-0.6963824906643207,-0.8409638691139185,-0.6642815983433813,0.39103602484491196,0.9482890067320524,-0.08882282774158161,-0.6183371558749458,-0.7708339188665129,-0.7627359460672815,0.12063390539664215,0.41621480829273005,-0.6931805387191745,-0.8167047771175181,-0.9044709430820665,-0.4751622967184928
ADIPOQ,0.12896592164516563,0.3309166129032373,0.3558536398463796,-0.7613467793842672,2.8320618911540825,-1.9900846615621532,-0.9896388498752384,-1.0698299573246308,-0.3719144863901304,0.06456013806279977,-0.5365192464313989,0.4196396986209924,-0.9565728327120989,0.6617467827630127,-0.4190537212318199,-0.9545991840296219,-0.26703480418873937,-1.4817047399509704,-0.9470334282500146,-1.6900115200085015,-0.06600693535491575,0.5554034465642892,-0.8990926100306745,0.2174891386447972,-1.0419845110788666,0.5485191772226959,1.2124291162373062,7.67790614869116e-05,-0.13578360870156247,-0.7517136342970236,-0.5795753610341927
ADIPOR1,0.5164557808744079,-0.014181319022745062,-0.1988602490969861,-0.14998147230326345,0.21748495903082873,-0.33031115834749203,-0.09578180218630276,-0.1263708489443472,-0.27352072642623754,-0.2506376735733237,-0.26322572798712807,0.09874820348812169,-0.2604783267426728,-0.3141991709965171,-0.2817179682777464,-0.2781885817430464,-0.3846489862685408,-0.25391722474563083,-0.5165701168171709,0.6791663475925385,-0.1796511637088405,-0.19634723135525572,-0.1447801945525124,0.30934414391215864,-0.4221267750441114,0.1744544990370037,-0.15102916898426552,-0.13606061924870513,-0.1818043652046603,0.8114229349847795,-0.059226640921717526
ADIPOR2,0.21497355060093515,-0.3591236339195809,-0.6967058786245903,-0.412087135371981,1.1976829178560782,-1.0670520500042584,-0.7134279249221633,0.2557535561149147,-0.227183511236752,-0.37689426721202224,-0.3338075034035169,0.907770408002876,-0.42691644295909686,-0.006798443198140491,0.17563827433623896,0.3739531974946353,-0.7801382301609581,-0.41706707364175044,-0.34898767683097587,-0.5964916093281258,-0.16601169133986232,0.13640517128620572,-0.9723674812199097,-0.12463675963203462,-1.043279107492937,1.5274938143410908,-0.4851547940729661,0.21698490687844016,-0.47579180394232967,-0.788770218821622,-0.09575245341780894
AKT1,-0.7976055181091353,-0.7671886550432568,-0.5891881496507806,-0.7188085079479608,-0.4422344720612056,-1.4871831782856464,-0.04102218505725495,0.2999577228509187,-1.0706504754005837,-1.0850069908135054,-0.6231249899447501,-0.38246232189529256,0.42351535081108566,0.8858910773942005,-0.41910198676696114,0.3267289722897085,-0.4804924913838966,-0.027133217199380208,0.2859148762071173,0.8419586840119043,-0.6676713972143073,0.11670075566257203,-0.9723076692566672,-0.06635588761848672,-1.220588181666288,-0.0403625705053832,-0.6875401509904413,1.2316567093732471,0.4737403544240067,-1.239948760134749,-0.5747081558950048
AKT1S1,0.6757787284133454,-1.4889296235107379,-0.515107913830116,-0.3812197616976014,0.24006702173492075,-0.7554876291897306,-0.5651356680204976,1.0305665194461215,-0.8534649554477336,-0.4885279380320268,0.10685921260144542,-0.9703528448289814,0.08089169663385087,1.7819586371068352,-1.4255195653498023,-0.876349139815461,-0.41521562731657885,-0.540193704263413,-0.5909463852036035,-0.07712117643442938,2.5674597170198368,0.2080183577279664,-0.6630068244991244,-0.03927372814299263,-0.34723649035850285,1.0239173693842385,0.34222552296980396,1.6465424209966562,-0.543133461072666,0.9153634928270268,0.8678049731496328
AKT2,-0.06173417192562112,-0.4291169097383041,-0.5472802682141166,-0.6409667022571427,1.4073790161481705,-1.44885213832418,-0.7991943929735633,1.0100754948126893,0.0075268806557517625,1.3680819944184404,-0.5764412054938076,-0.18576236535544943,-0.15696583210236095,1.39635146649428,-0.7536706395677769,0.5315586707556801,-0.4776315151061387,-0.37711995433357287,-0.8468947405763686,-0.07758750771044307,-0.10956007502636189,0.10661261105051545,-0.2801792750620705,0.2052730057004272,-1.07342408683994,0.5393012788854578,-0.043944432095933794,0.7110612705605489,-1.6462057034841455,-1.8648150174926226,-0.38464880259873163
AKT3,-0.6969611436672277,-0.26412532009166206,-0.3411830376997006,0.5382830099425128,0.6649017622696944,0.4932610749950993,-0.31011497167766566,-0.7442573114992974,0.0989951607577591,-0.8678126624565019,-0.4029780874323158,-0.5431800014024099,-0.5943857071347984,0.39007802148998644,-0.14729786904023962,0.7463553501366957,0.3019179001965693,0.056454225478184294,-0.609869699436091,-0.8800138015990802,-0.523489846545499,-0.5853816533192875,2.6461807725004105,-0.15991574614729742,1.3483662987074427,-1.0661998187147779,1.6070448879080212,0.5024202392639178,-0.7725829691988237,0.045279197061291326,-0.4024802722694669
ANGPT1,0.17577501460299388,0.6078170847018178,-0.03808917282769868,-0.706866412701314,-0.2724627535379577,-1.1900449743348311,-0.7097341409557498,1.3202860711588886,1.8635636498024186,0.9631766687867253,0.1566396308290778,3.4682234346362417,1.864410523847877,-1.0821013030097113,0.28730855649556863,0.1833878768172453,-0.7796408997627664,-0.9733615011983905,-0.004782743158906866,-0.2374560637303187,0.2626380197774417,0.10908523343694285,-0.5676659576514523,-0.2530984521987095,-0.5270914927688275,1.6482834449946553,-0.03674144527112541,0.7023931487550332,0.41841498562221646,0.12487126313152555,-0.6121056556217024
ANGPT2,-0.37046165518178126,-0.18497957087652458,-0.06943655674318486,-0.32974845827872934,-0.3679624694645363,0.7493929799453878,-0.9249349628607179,-1.060296151508066,1.1376228673781268,-0.8249231784974125,-0.8637774139518569,0.059625873418324926,-0.6894997397329687,-0.07094536773902453,0.8616083581255389,0.5533222946064705,-0.3237957782981454,0.004068560045403923,-0.20010502354523027,-0.7575266751041824,-0.9049688754150905,-0.7810537629911319,-0.5487046822366586,-0.6039765122151467,0.5629971336407756,-0.5583337000582458,2.100820752839309,-0.5493134106382972,-0.986049701163941,0.16447526875408117,0.27986477964335044
ANGPT4,0.8787796983271765,-0.816965784157954,1.1664335288038725,-0.44699966947811987,0.2456997686601984,1.8668642222851057,0.2015334882628398,-0.2542244203162605,0.24018976497741418,-0.5217744728606699,0.7548982151340081,0.08506997226271629,-0.33963879868880714,-0.459243241117904,-0.6771674451065451,0.06506362307728332,-0.49467794871307574,1.1686934580133708,-0.021137031196339185,-0.9890688114444828,-0.5893873931045323,-0.7212952800198328,0.25720866024976097,-0.41900934584221,3.2691497166152548,0.32083864381493693,4.450640165855018,-0.8310456884865713,0.01300170775220211,-0.04781502558223602,0.020934473127317627
APC,-0.4906732294339911,-0.021637074662403357,0.8347868010316649,-0.485706550805975,1.1101705812190394,0.102895389541835,-0.11498716824565958,-0.6777111169243277,1.4817302509700918,0.2834875872519577,0.6151362578555595,2.362592214886835,-0.9263946923536622,-0.9699347808965793,1.869234766527259,0.5727567169043771,0.22207580567184046,-0.2919450445834683,0.15404583762027865,-1.2853878935913712,-0.5619829599419763,-0.5270788040932928,-0.4590810734748346,-1.647501202719263,0.3182149128528295,-0.8072828732534421,1.1735520171135438,-0.8194355928097878,-0.9375397543083868,0.062170210239636044,-1.5280783716619672
APC2,0.40426216670466536,-0.5858334296163757,-0.30752219482378895,-0.14870582898112458,-0.6295323873835845,-0.25740559038491967,-0.6933244216460747,0.7276788885930457,-1.338532734849882,-0.02869586422712341,-0.1599636988829472,-0.3835850491139441,-0.6978061054715491,0.4740603658349074,-0.6801927881852472,0.26096722141261125,-0.23966765081639999,-0.04651476238210456,0.351277979745108,0.05856961070517427,-0.0811926592358565,0.061478346478332946,-0.1502909818457174,0.7234779459939924,0.36417150542525606,0.3173718024326522,-0.2876643636327165,0.18674844285753148,1.0503340606959626,0.14000231284590872,0.04282989097279993
AREG,-0.6208007340980508,-0.7998952308550157,-0.3460229751649273,0.7305895332334945,-0.7761450279049544,1.2494543843480426,-0.2827321754113692,2.435373910136043,-0.8928846555501349,0.3808778387385619,1.0233258288587332,-0.5854906276658418,-0.3102215883325315,-0.6750642451027311,0.3263907491142011,-0.1664777202081622,3.1507336914133584,1.7524830775043314,1.1782834068635228,-0.8207452931981101,-0.47085674140565237,0.9095571759030854,-0.8728132667157055,0.020298901455602973,-0.6851809383389412,0.1718780948416644,-0.2849292170971185,-1.0608460765914531,-0.5109407185812618,-0.8989370039948195,-0.7784537905278774
ATF2,-0.9878768416239287,-1.002451539632334,0.8513650559908298,-0.4595128084233509,0.2272883558052116,-0.4476596760957081,-0.09397964946868465,-0.82764191904196,0.7323485052629755,0.23007729939850394,0.08752796285638416,1.2275286548457292,-0.6050619511052332,-0.5686641335416812,0.020318490523206334,-0.15971398642449938,-0.35037019179599227,0.3642291848018557,-0.08418838856961226,-0.30971949395844267,-0.8051694308394358,-0.8546203811221388,-1.0168278794051497,-0.952620241186296,-0.4784466926708821,-0.7083113508369733,-0.010309069342857432,-0.8515288490694869,-1.045813534039036,-0.8909025799265612,-1.1102223138380671
